05/15/26-17:27:16.601364 ,120,8,1,"(http_inspect) INVALID CONTENT-LENGTH OR CHUNK SIZE",TCP,192.168.100.100,41254,10.10.10.50,8081,22812,Unknown Traffic,3,alert,Allow
05/15/26-17:27:16.600602 ,120,3,1,"(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE",TCP,10.10.10.50,8081,192.168.100.100,41254,22813,Unknown Traffic,3,alert,Allow
05/15/26-17:27:22.817056 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,12081,Misc activity,3,alert,Allow
05/15/26-17:27:22.817820 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,10.10.10.50,,192.168.100.100,,19007,Misc activity,3,alert,Allow
05/15/26-17:27:22.843053 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,34437,Misc activity,3,alert,Allow
05/15/26-17:27:22.843778 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,10.10.10.50,,192.168.100.100,,19021,Misc activity,3,alert,Allow
05/15/26-17:27:22.944350 ,1,9000007,1,"BERMA-007 Nmap Aggressive Scan - Reconocimiento avanzado detectado",TCP,192.168.100.100,42122,10.10.10.50,53,3397,Detection of a Network Scan,3,alert,Allow
05/15/26-17:27:23.122048 ,1,9000007,1,"BERMA-007 Nmap Aggressive Scan - Reconocimiento avanzado detectado",TCP,192.168.100.100,42122,10.10.10.50,53,29496,Detection of a Network Scan,3,alert,Allow
05/15/26-17:27:23.275388 ,1,9000007,1,"BERMA-007 Nmap Aggressive Scan - Reconocimiento avanzado detectado",TCP,192.168.100.100,42122,10.10.10.50,53,49416,Detection of a Network Scan,3,alert,Allow
05/15/26-17:27:23.428961 ,1,9000007,1,"BERMA-007 Nmap Aggressive Scan - Reconocimiento avanzado detectado",TCP,192.168.100.100,42122,10.10.10.50,53,3112,Detection of a Network Scan,3,alert,Allow
05/15/26-17:27:25.156924 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,58928,Misc activity,3,alert,Allow
